DayofMonth,DayOfWeek,Carrier,Origin,Origin City,Dest,Dest City,Departure Delay (mins),Arrival Delay (min),Schd Elapsed Time,Actual Elapsed Time
26,3,Southwest,DEN,"Denver, CO",MDW,"Chicago, IL",0,-9,145,136
26,3,Southwest,ATL,"Atlanta, GA",TPA,"Tampa, FL",-4,-1,80,83
26,3,Southwest,BNA,"Nashville, TN",BWI,"Baltimore, MD",-2,-1,105,106
26,3,Southwest,BUF,"Buffalo, NY",MCO,"Orlando, FL",-4,-14,160,150
26,3,Southwest,BWI,"Baltimore, MD",ATL,"Atlanta, GA",-8,-18,120,110
26,3,Southwest,DAL,"Dallas, TX",AMA,"Amarillo, TX",0,-6,70,64
22,6,Southwest,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",-3,-16,130,117
26,3,Southwest,ONT,"Ontario, CA",SMF,"Sacramento, CA",-4,-11,75,68
7,5,Southwest,BWI,"Baltimore, MD",SEA,"Seattle, WA",1,-5,345,339
27,4,Southwest,LAS,"Las Vegas, NV",MAF,"Midland/Odessa, TX",3,8,125,130
26,3,Southwest,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",-3,-20,100,83
27,4,Southwest,PIT,"Pittsburgh, PA",MDW,"Chicago, IL",-6,-21,90,75
26,3,Southwest,STL,"St. Louis, MO",MDW,"Chicago, IL",-4,-5,70,69
28,5,Southwest,DAL,"Dallas, TX",BNA,"Nashville, TN",3,2,105,104
28,5,Southwest,LAS,"Las Vegas, NV",RNO,"Reno, NV",-4,-13,75,66
29,6,Southwest,BWI,"Baltimore, MD",PBI,"West Palm Beach/Palm Beach, FL",4,-9,155,142
27,4,Southwest,MKE,"Milwaukee, WI",BWI,"Baltimore, MD",0,-13,115,102
28,5,Southwest,RDU,"Raleigh/Durham, NC",DEN,"Denver, CO",-4,-25,225,204
28,5,Southwest,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",-3,-17,80,66
29,6,Southwest,SEA,"Seattle, WA",SAN,"San Diego, CA",1,21,165,185
30,7,Southwest,PHX,"Phoenix, AZ",AUS,"Austin, TX",1,-4,135,130
30,7,Southwest,PHX,"Phoenix, AZ",SNA,"Santa Ana, CA",-8,8,70,86
30,7,Southwest,SMF,"Sacramento, CA",SEA,"Seattle, WA",-2,-5,110,107
30,7,Southwest,BWI,"Baltimore, MD",FLL,"Fort Lauderdale, FL",-5,-3,150,152
30,7,Southwest,DCA,"Washington, DC",DAL,"Dallas, TX",-7,-16,195,186
16,7,Southwest,MSY,"New Orleans, LA",PHX,"Phoenix, AZ",-2,-25,200,177
20,4,Southwest,HOU,"Houston, TX",ATL,"Atlanta, GA",1,52,120,171
20,4,Southwest,STL,"St. Louis, MO",DAL,"Dallas, TX",-5,12,100,117
30,7,Southwest,LGA,"New York, NY",MDW,"Chicago, IL",-3,-20,140,123
30,7,Southwest,MDW,"Chicago, IL",FLL,"Fort Lauderdale, FL",-1,-1,175,175
10,1,Southwest,MDW,"Chicago, IL",PHL,"Philadelphia, PA",16,2,110,96
11,2,Southwest,DAL,"Dallas, TX",AUS,"Austin, TX",-3,0,50,53
11,2,Southwest,DEN,"Denver, CO",SLC,"Salt Lake City, UT",-3,0,90,93
11,2,Southwest,DEN,"Denver, CO",TUL,"Tulsa, OK",1,0,90,89
11,2,Southwest,HOU,"Houston, TX",HRL,"Harlingen/San Benito, TX",9,1,60,52
11,2,Southwest,LAS,"Las Vegas, NV",MDW,"Chicago, IL",57,44,205,192
31,1,Southwest,DAL,"Dallas, TX",STL,"St. Louis, MO",0,-7,100,93
31,1,Southwest,DEN,"Denver, CO",LAX,"Los Angeles, CA",-1,3,145,149
31,1,Southwest,DEN,"Denver, CO",MDW,"Chicago, IL",-4,-6,140,138
25,2,Southwest,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",-4,-6,60,58
29,6,Southwest,MDW,"Chicago, IL",CLE,"Cleveland, OH",-4,-16,70,58
31,1,Southwest,PDX,"Portland, OR",SJC,"San Jose, CA",-1,-8,105,98
31,1,Southwest,RDU,"Raleigh/Durham, NC",PHX,"Phoenix, AZ",-1,-33,280,248
31,1,Southwest,LAX,"Los Angeles, CA",SAT,"San Antonio, TX",-7,-19,170,158
31,1,Southwest,MDW,"Chicago, IL",BNA,"Nashville, TN",0,-4,80,76
31,1,Southwest,SEA,"Seattle, WA",DEN,"Denver, CO",-3,-8,155,150
31,1,Southwest,STL,"St. Louis, MO",LGA,"New York, NY",0,-4,145,141
29,6,Frontier,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",-8,-12,240,236
29,6,Hawaiian,HNL,"Honolulu, HI",OGG,"Kahului, HI",-7,-11,41,37
22,6,Hawaiian,LIH,"Lihue, HI",HNL,"Honolulu, HI",-4,-2,32,34
26,3,Frontier,LGA,"New York, NY",ATL,"Atlanta, GA",-12,-14,155,153
26,3,Hawaiian,HNL,"Honolulu, HI",KOA,"Kona, HI",-7,-7,43,43
31,1,Hawaiian,OGG,"Kahului, HI",HNL,"Honolulu, HI",-14,-16,34,32
3,1,Hawaiian,HNL,"Honolulu, HI",OGG,"Kahului, HI",-8,-8,36,36
29,6,Hawaiian,OGG,"Kahului, HI",HNL,"Honolulu, HI",-14,-16,33,31
18,2,Hawaiian,OGG,"Kahului, HI",LAX,"Los Angeles, CA",-2,-1,310,311
29,6,Hawaiian,HNL,"Honolulu, HI",LIH,"Lihue, HI",-5,-4,37,38
18,2,Hawaiian,LIH,"Lihue, HI",HNL,"Honolulu, HI",-3,-2,32,33
9,7,Hawaiian,KOA,"Kona, HI",HNL,"Honolulu, HI",-9,-12,44,41
16,7,Hawaiian,HNL,"Honolulu, HI",OGG,"Kahului, HI",-7,1,39,47
4,2,Hawaiian,LIH,"Lihue, HI",HNL,"Honolulu, HI",-9,-7,33,35
30,7,Hawaiian,HNL,"Honolulu, HI",OGG,"Kahului, HI",-6,0,37,43
31,1,Hawaiian,HNL,"Honolulu, HI",ITO,"Hilo, HI",-11,-9,53,55
30,7,Hawaiian,OGG,"Kahului, HI",LIH,"Lihue, HI",-1,-2,45,44
15,6,Hawaiian,OGG,"Kahului, HI",KOA,"Kona, HI",-4,-3,32,33
20,4,American Eagle,DFW,"Dallas/Fort Worth, TX",MOB,"Mobile, AL",4,-12,107,91
27,4,Hawaiian,HNL,"Honolulu, HI",ITO,"Hilo, HI",-5,0,51,56
14,5,Hawaiian,LIH,"Lihue, HI",HNL,"Honolulu, HI",32,38,34,40
26,3,Hawaiian,HNL,"Honolulu, HI",LIH,"Lihue, HI",-11,-9,42,44
27,4,American Eagle,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",14,4,55,45
6,4,American Eagle,LGA,"New York, NY",GSO,"Greensboro/High Point, NC",-16,-13,104,107
23,7,American Eagle,ORD,"Chicago, IL",CMH,"Columbus, OH",-2,-18,81,65
8,6,American Eagle,STL,"St. Louis, MO",ORD,"Chicago, IL",-5,-3,80,82
4,2,American Eagle,ORD,"Chicago, IL",TVC,"Traverse City, MI",0,-14,72,58
7,5,American Eagle,TVC,"Traverse City, MI",ORD,"Chicago, IL",-3,-5,75,73
13,4,American Eagle,CHO,"Charlottesville, VA",LGA,"New York, NY",-2,-8,78,72
6,4,American Eagle,FNT,"Flint, MI",ORD,"Chicago, IL",-2,-10,75,67
13,4,Hawaiian,KOA,"Kona, HI",OGG,"Kahului, HI",-6,-5,33,34
3,1,American Eagle,BHM,"Birmingham, AL",MIA,"Miami, FL",34,26,119,111
6,4,American Eagle,COU,"Columbia, MO",DFW,"Dallas/Fort Worth, TX",-12,15,101,128
21,5,American Eagle,SGF,"Springfield, MO",ORD,"Chicago, IL",-4,-16,99,87
14,5,American Eagle,ORD,"Chicago, IL",FAR,"Fargo, ND",-1,-13,115,103
3,1,American Eagle,DFW,"Dallas/Fort Worth, TX",GCK,"Garden City, KS",-5,-20,92,77
19,3,American Eagle,DFW,"Dallas/Fort Worth, TX",PIA,"Peoria, IL",-3,-23,126,106
25,2,American Eagle,ORD,"Chicago, IL",ELP,"El Paso, TX",-2,-10,184,176
24,1,American Eagle,ORD,"Chicago, IL",EWR,"Newark, NJ",-1,-10,123,114
29,6,American Eagle,ORD,"Chicago, IL",BNA,"Nashville, TN",4,-10,89,75
26,3,American Eagle,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",-7,-15,73,65
28,5,American Eagle,CLE,"Cleveland, OH",ORD,"Chicago, IL",-6,-12,91,85
9,7,American Eagle,DFW,"Dallas/Fort Worth, TX",OKC,"Oklahoma City, OK",7,-3,63,53
5,3,American Eagle,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",-3,-19,59,43
25,2,American Eagle,JFK,"New York, NY",CMH,"Columbus, OH",-8,-30,137,115
19,3,American Eagle,ORD,"Chicago, IL",OMA,"Omaha, NE",5,-10,96,81
15,6,American Eagle,ORD,"Chicago, IL",MLI,"Moline, IL",29,13,65,49
2,7,American Eagle,DFW,"Dallas/Fort Worth, TX",BIS,"Bismarck/Mandan, ND",7,7,171,171
7,5,American Eagle,DFW,"Dallas/Fort Worth, TX",BIS,"Bismarck/Mandan, ND",0,-21,171,150
5,3,American Eagle,ORD,"Chicago, IL",TUL,"Tulsa, OK",17,-4,129,108
30,7,American Eagle,DBQ,"Dubuque, IA",ORD,"Chicago, IL",-6,-14,60,52
3,1,American Eagle,DFW,"Dallas/Fort Worth, TX",MTJ,"Montrose/Delta, CO",-2,-12,136,126
22,6,American Eagle,BWI,"Baltimore, MD",ORD,"Chicago, IL",-7,-29,141,119
29,6,American Eagle,ORD,"Chicago, IL",HPN,"White Plains, NY",0,-17,140,123
9,7,American Eagle,LEX,"Lexington, KY",ORD,"Chicago, IL",-5,-27,90,68
12,3,American Eagle,DFW,"Dallas/Fort Worth, TX",GGG,"Longview, TX",0,19,54,73
4,2,American Eagle,DFW,"Dallas/Fort Worth, TX",ROW,"Roswell, NM",-5,-14,95,86
2,7,American Eagle,DFW,"Dallas/Fort Worth, TX",FWA,"Fort Wayne, IN",2,-5,148,141
16,7,Atlantic SE,MKE,"Milwaukee, WI",EWR,"Newark, NJ",46,35,134,123
14,5,Atlantic SE,RIC,"Richmond, VA",EWR,"Newark, NJ",-1,-7,85,79
25,2,Atlantic SE,ORD,"Chicago, IL",CMH,"Columbus, OH",-10,-13,77,74
13,4,Atlantic SE,IAH,"Houston, TX",BTR,"Baton Rouge, LA",-5,-11,67,61
23,7,American Eagle,ORD,"Chicago, IL",XNA,"Fayetteville, AR",6,-11,107,90
6,4,American Eagle,OMA,"Omaha, NE",ORD,"Chicago, IL",22,16,96,90
13,4,American Eagle,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",-2,-2,92,92
21,5,American Eagle,HOU,"Houston, TX",DFW,"Dallas/Fort Worth, TX",0,25,72,97
31,1,American Eagle,CVG,"Cincinnati, OH",DFW,"Dallas/Fort Worth, TX",-7,-16,150,141
22,6,American Eagle,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",-3,-14,144,133
17,1,American Eagle,XNA,"Fayetteville, AR",LGA,"New York, NY",-6,-5,177,178
18,2,American Eagle,DFW,"Dallas/Fort Worth, TX",GRR,"Grand Rapids, MI",75,43,155,123
16,7,American Eagle,ORD,"Chicago, IL",XNA,"Fayetteville, AR",-1,-13,112,100
30,7,American Eagle,XNA,"Fayetteville, AR",ORD,"Chicago, IL",-18,-21,106,103
25,2,American Eagle,DFW,"Dallas/Fort Worth, TX",LFT,"Lafayette, LA",-3,4,84,91
25,2,American Eagle,COU,"Columbia, MO",DFW,"Dallas/Fort Worth, TX",-9,-13,107,103
19,3,Spirit,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",-4,4,151,159
16,7,Spirit,MSP,"Minneapolis, MN",IAH,"Houston, TX",33,48,159,174
29,6,Spirit,ACY,"Atlantic City, NJ",MCO,"Orlando, FL",2,12,136,146
18,2,American Eagle,DTW,"Detroit, MI",LGA,"New York, NY",22,19,109,106
28,5,American Eagle,EVV,"Evansville, IN",ORD,"Chicago, IL",-9,-27,93,75
1,6,Spirit,MYR,"Myrtle Beach, SC",BOS,"Boston, MA",-6,-14,118,110
12,3,Spirit,LAS,"Las Vegas, NV",DTW,"Detroit, MI",-4,0,234,238
22,6,Spirit,DTW,"Detroit, MI",LGA,"New York, NY",-3,2,95,100
14,5,Spirit,DFW,"Dallas/Fort Worth, TX",FLL,"Fort Lauderdale, FL",31,21,176,166
24,1,Spirit,FLL,"Fort Lauderdale, FL",ORD,"Chicago, IL",-7,-20,190,177
17,1,Spirit,MYR,"Myrtle Beach, SC",BWI,"Baltimore, MD",-6,-12,85,79
23,7,Spirit,MSP,"Minneapolis, MN",DEN,"Denver, CO",87,73,126,112
10,1,Spirit,DEN,"Denver, CO",ORD,"Chicago, IL",2,-12,147,133
14,5,Spirit,IAG,"Niagara Falls, NY",FLL,"Fort Lauderdale, FL",-5,-11,170,164
3,1,Spirit,FLL,"Fort Lauderdale, FL",MSY,"New Orleans, LA",-5,3,114,122
1,6,Spirit,MCI,"Kansas City, MO",IAH,"Houston, TX",-5,-11,116,110
21,5,Spirit,ORD,"Chicago, IL",MSP,"Minneapolis, MN",38,38,85,85
6,4,American Eagle,TOL,"Toledo, OH",ORD,"Chicago, IL",2,5,75,78
2,7,American Eagle,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",-7,-21,76,62
12,3,American Eagle,DFW,"Dallas/Fort Worth, TX",SJT,"San Angelo, TX",-3,-13,67,57
3,1,SkyWest,PHX,"Phoenix, AZ",FLG,"Flagstaff, AZ",-7,1,49,57
22,6,SkyWest,BNA,"Nashville, TN",MSP,"Minneapolis, MN",-3,-12,133,124
23,7,SkyWest,SEA,"Seattle, WA",BOI,"Boise, ID",15,3,87,75
23,7,SkyWest,PSP,"Palm Springs, CA",PHX,"Phoenix, AZ",-7,10,82,99
19,3,SkyWest,RAP,"Rapid City, SD",MSP,"Minneapolis, MN",22,44,93,115
5,3,SkyWest,LAX,"Los Angeles, CA",SAN,"San Diego, CA",-3,-9,56,50
12,3,SkyWest,LAX,"Los Angeles, CA",SAN,"San Diego, CA",18,17,56,55
14,5,SkyWest,DEN,"Denver, CO",SGF,"Springfield, MO",2,15,111,124
14,5,SkyWest,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",1,-10,149,138
17,1,SkyWest,PDX,"Portland, OR",BUR,"Burbank, CA",-5,-17,132,120
11,2,SkyWest,IDA,"Idaho Falls, ID",SLC,"Salt Lake City, UT",-3,4,63,70
26,3,SkyWest,LAX,"Los Angeles, CA",OAK,"Oakland, CA",-7,3,85,95
20,4,SkyWest,ORD,"Chicago, IL",EAU,"Eau Claire, WI",0,2,76,78
