SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
New Construction Plan,,Condo/Co-op,#603,San Francisco,CA,94115,3150000,2,2,The Pacific,1360,,,,2316,,Active,,,http://www.redfin.com/CA/San-Francisco/The-Pacific/603/home/113874675,NewHomeFeed,Plan-359566,N,Y,37.7902213,-122.4329717
MLS Listing,,Condo/Co-op,188 Minna St Unit 32C,San Francisco,CA,94105,3150000,2,2.5,Yerba Buena,1670,,2005,3,1886,2327,Active,,,http://www.redfin.com/CA/San-Francisco/188-Minna-St-94105/unit-32C/home/12330701,San Francisco MLS,458269,N,Y,37.78629,-122.401375
MLS Listing,,Single Family Residential,564 Valley St,San Francisco,CA,94131,3150000,4,3.5,Noe Valley,3064,2848,1910,61,1028,,Active,May-23-2017 12:00 PM,May-23-2017 01:00 PM,http://www.redfin.com/CA/San-Francisco/564-Valley-St-94131/home/806543,San Francisco MLS,455968,N,Y,37.7442068,-122.4348571
MLS Listing,,Condo/Co-op,2164 Hyde St #510,San Francisco,CA,94965,3195000,4,3,Russian Hill,2650,,1914,31,1206,2664,Active,,,http://www.redfin.com/CA/San-Francisco/2164-Hyde-St-94109/unit-510/home/12399705,San Francisco MLS,457198,N,Y,37.800913,-122.419097
MLS Listing,,Single Family Residential,2901 Pine St,San Francisco,CA,94115,3195000,3,2.5,Lower Pacific Height,3280,1760,1987,17,974,,Active,,,http://www.redfin.com/CA/San-Francisco/2901-Pine-St-94115/home/1313621,San Francisco MLS,457753,N,Y,37.7865292,-122.4437601
MLS Listing,,Condo/Co-op,765 Market St Unit 26G,San Francisco,CA,94108,3200000,2,2.5,South of Market,1762,,2001,76,1816,2194,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-26G/home/1982535,San Francisco MLS,455414,N,Y,37.786212,-122.404303
MLS Listing,,Condo/Co-op,188 Minna St Unit 25F,San Francisco,CA,94105,3250000,2,2,Yerba Buena,1527,,2005,38,2128,2259,Active,,,http://www.redfin.com/CA/San-Francisco/188-Minna-St-94105/unit-25F/home/11743097,San Francisco MLS,456803,N,Y,37.78629,-122.401375
MLS Listing,,Single Family Residential,171 Cook St,San Francisco,CA,94118,3290000,6,5.5,Lone Mountain,3700,3000,1900,31,889,,Active,May-27-2017 02:00 PM,May-27-2017 04:30 PM,http://www.redfin.com/CA/San-Francisco/171-Cook-St-94118/home/113761619,San Francisco MLS,457220,N,Y,37.780867,-122.452261
MLS Listing,,Condo/Co-op,201 Folsom St Unit 32E,San Francisco,CA,94105,3295000,3,3,South Beach,1780,,2017,41,1851,1177,Active,May-22-2017 11:00 AM,May-22-2017 05:00 PM,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-32E/home/113710435,San Francisco MLS,456752,N,Y,37.7886997,-122.39226
MLS Listing,,Single Family Residential,122 Alta St,San Francisco,CA,94133,3295000,3,2.5,Telegraph Hill,2225,1999,1906,24,1481,,Active,,,http://www.redfin.com/CA/San-Francisco/122-Alta-St-94133/home/22046526,San Francisco MLS,457445,N,Y,37.8015078,-122.4048146
MLS Listing,,Condo/Co-op,631 Folsom St Unit PHD,San Francisco,CA,94107,3295000,3,2.5,Yerba Buena,2623,,2009,87,1256,979,Active,,,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-PHD/home/104509541,San Francisco MLS,455024,N,Y,37.7848176,-122.3969578
MLS Listing,,Single Family Residential,2161 North Point St,San Francisco,CA,94123,3295000,4,4,Marina,3106,3438,1926,6,1061,,Active,May-25-2017 05:30 PM,May-25-2017 07:00 PM,http://www.redfin.com/CA/San-Francisco/2161-N-Point-St-94123/home/1780183,San Francisco MLS,458032,N,Y,37.8026587,-122.442699
MLS Listing,,Condo/Co-op,1000 3rd St #1301,San Francisco,CA,94158,3450000,3,2.5,Mission Bay,1976,,,16,1746,1013,Active,,,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-1301/home/113881059,San Francisco MLS,457779,N,Y,37.7734359,-122.3898896
New Construction Plan,,Condo/Co-op,R1-1301,San Francisco,CA,94158,3450000,3,2.5,ONE Mission Bay,1976,,,,1746,,Active,,,http://www.redfin.com/CA/San-Francisco/ONE-Mission-Bay/R1-1301/home/113893567,NewHomeFeed,Plan-359827,N,Y,37.775051,-122.390643
MLS Listing,,Single Family Residential,724 Noe St,San Francisco,CA,94114,3495000,4,4,Eureka Valley/Dolore,2746,2827,,10,1273,,Active,,,http://www.redfin.com/CA/San-Francisco/724-Noe-St-94114/home/1035206,San Francisco MLS,458038,N,Y,37.757402,-122.432758
MLS Listing,,Single Family Residential,1 Ashbury Ter,San Francisco,CA,94117,3495000,4,3.5,Buena Vista Park,2792,3249,,16,1252,,Active,,,http://www.redfin.com/CA/San-Francisco/1-Ashbury-Ter-94117/home/669728,San Francisco MLS,457781,N,Y,37.765305,-122.4449554
MLS Listing,,Single Family Residential,875 Humboldt Rd,BRISBANE,CA,94005,3498000,7,5.5,BRISBANE,4935,7366,2017,11,709,,Active,,,http://www.redfin.com/CA/Brisbane/875-Humboldt-Rd-94005/home/113900148,MLSListings,ML81650098,N,Y,37.678652,-122.400878
MLS Listing,,Single Family Residential,1769 11th Ave,San Francisco,CA,94122,3500000,4,4.5,Inner Sunset,3600,,2017,24,972,,Active,,,http://www.redfin.com/CA/San-Francisco/1769-11th-Ave-94122/home/113820936,San Francisco MLS,457478,N,Y,37.7552046,-122.467858
MLS Listing,,Single Family Residential,51 Ord St,San Francisco,CA,94114,3600000,4,4,Corona Heights,4294,1942,1885,224,838,,Active,,,http://www.redfin.com/CA/San-Francisco/51-Ord-St-94114/home/1782446,San Francisco MLS,451483,N,Y,37.7629935,-122.4400105
MLS Listing,,Condo/Co-op,181 Fremont Unit 56 C,San Francisco,CA,94105,3625000,2,2.5,Yerba Buena,1605,,2017,6,2259,2444,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-56-C/home/113968367,San Francisco MLS,458191,N,Y,37.7898082,-122.3953565
MLS Listing,,Condo/Co-op,3027 25th St,San Francisco,CA,94110,3700000,6,5,Inner Mission,4800,,1908,24,771,,Active,,,http://www.redfin.com/CA/San-Francisco/3027-25th-St-94110/home/28890797,San Francisco MLS,456799,N,Y,37.7509203,-122.4106377
MLS Listing,,Single Family Residential,8 Miguel St,San Francisco,CA,94131,3750000,4,6.5,Glen Park,4320,4461,,10,868,,Active,,,http://www.redfin.com/CA/San-Francisco/8-Miguel-St-94131/home/11736512,San Francisco MLS,458081,N,Y,37.738939,-122.430713
MLS Listing,,Single Family Residential,1050 Filbert St,San Francisco,CA,94133,3950000,3,3.5,Russian Hill,2685,2748,1907,25,1471,,Active,June-4-2017 02:00 PM,June-4-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1050-Filbert-St-94133/home/978335,San Francisco MLS,457365,N,Y,37.800718,-122.416858
MLS Listing,,Condo/Co-op,631 Ofarrell St #2101,San Francisco,CA,94109,3950000,3,3.5,Downtown,3591,,,163,1100,4637,Active,May-27-2017 02:00 PM,May-27-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/631-O-Farrell-St-94109/unit-2101/home/555968,San Francisco MLS,446910,N,Y,37.7852565,-122.4151645
MLS Listing,,Condo/Co-op,2121 Webster St #608,San Francisco,CA,94115,3995000,2,2,Pacific Heights,1793,,2016,17,2228,1396,Active,,,http://www.redfin.com/CA/San-Francisco/2121-Webster-St-94115/unit-608/home/113869036,San Francisco MLS,457229,N,Y,37.7902213,-122.4329717
New Construction Plan,,Single Family Residential,#608,San Francisco,CA,94115,3995000,2,2,The Pacific,1793,,,,2228,,Active,,,http://www.redfin.com/CA/San-Francisco/The-Pacific/608/home/113874674,NewHomeFeed,Plan-359567,N,Y,37.7902213,-122.4329717
MLS Listing,,Single Family Residential,1918 Divisadero St,San Francisco,CA,94115,3995000,4,3.5,Lower Pacific Height,3460,2260,1910,130,1155,,Active,,,http://www.redfin.com/CA/San-Francisco/1918-Divisadero-St-94115/home/589409,San Francisco MLS,453305,N,Y,37.7875,-122.440005
MLS Listing,,Single Family Residential,4233 22nd St,San Francisco,CA,94114,3995000,5,4,Noe Valley,3858,2848,1922,73,1036,,Active,,,http://www.redfin.com/CA/San-Francisco/4233-22nd-St-94114/home/1120526,San Francisco MLS,455424,N,Y,37.7540017,-122.4395041
MLS Listing,,Single Family Residential,30 Palo Alto Ave,San Francisco,CA,94114,3995000,4,4.5,Clarendon Heights,4641,4222,1991,49,861,,Active,,,http://www.redfin.com/CA/San-Francisco/30-Palo-Alto-Ave-94114/home/934560,San Francisco MLS,456323,N,Y,37.7570733,-122.4483299
New Construction Plan,,Condo/Co-op,Penthouse 2,San Francisco,CA,94109,4245000,3,3,1450 Franklin,2076,,,,2045,,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Franklin/Penthouse-2/home/113616150,NewHomeFeed,Plan-352679,N,Y,37.7881078,-122.4233468
MLS Listing,,Condo/Co-op,1450 Franklin St #1302,San Francisco,CA,94109,4245000,3,3,Van Ness/Civic Center,2076,,2017,51,2045,1320,Active,May-23-2017 09:30 AM,May-23-2017 11:30 AM,http://www.redfin.com/CA/San-Francisco/1450-Franklin-St-94109/unit-1302/home/113628789,San Francisco MLS,456425,N,Y,37.7881078,-122.4233468
MLS Listing,,Condo/Co-op,200 Brannan St #437,San Francisco,CA,94107,4250000,3,3.5,South Beach,2903,,2004,80,1464,925,Active,,,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-437/home/1777832,San Francisco MLS,454912,N,Y,37.7835714,-122.3907007
MLS Listing,,Single Family Residential,2345 Divisadero St,San Francisco,CA,94115,4250000,5,2.75,Pacific Heights,3100,3438,1900,3,1371,,Active,May-22-2017 05:00 PM,May-22-2017 07:00 PM,http://www.redfin.com/CA/San-Francisco/2345-Divisadero-St-94115/home/1269378,San Francisco MLS,458365,N,Y,37.791291,-122.441473
MLS Listing,,Condo/Co-op,1563 Francisco,San Francisco,CA,94123,4300000,4,3,Marina,3256,,,61,1321,840,Active,,,http://www.redfin.com/CA/San-Francisco/1563-Francisco-St-94123/home/12276974,San Francisco MLS,455969,N,Y,37.802182,-122.430769
MLS Listing,,Condo/Co-op,6 Mint Plz Unit 900A,San Francisco,CA,94103,4350000,3,3.5,South of Market,3390,,1900,14,1283,2437,Active,,,http://www.redfin.com/CA/San-Francisco/6-Mint-Plz-94103/unit-900A/home/102136174,San Francisco MLS,457705,N,Y,37.7829198,-122.4078691
MLS Listing,,Single Family Residential,3159 Baker St,San Francisco,CA,94123,4498000,6,4,Marina,4680,2879,1927,67,961,,Active,,,http://www.redfin.com/CA/San-Francisco/3159-Baker-St-94123/home/849027,San Francisco MLS,455473,N,Y,37.8003356,-122.4465246
MLS Listing,,Single Family Residential,52 Homestead St,San Francisco,CA,94114,4499000,5,5.5,Noe Valley,4100,,,46,1097,,Active,,,http://www.redfin.com/CA/San-Francisco/52-Homestead-St-94114/home/1527825,San Francisco MLS,456594,N,Y,37.750109,-122.439785
MLS Listing,,Single Family Residential,1880 Turk St,San Francisco,CA,94115,4500000,9,7,Anza Vista,7549,6390,1887,75,596,,Active,,,http://www.redfin.com/CA/San-Francisco/1880-Turk-St-94115/home/1992046,San Francisco MLS,455455,N,Y,37.7797569,-122.44018
MLS Listing,,Condo/Co-op,1150 Sacramento St #403,San Francisco,CA,94108,4750000,3,3.5,Nob Hill,3700,,1989,82,1284,4877,Active,,,http://www.redfin.com/CA/San-Francisco/1150-Sacramento-St-94108/unit-403/home/1098294,San Francisco MLS,455202,N,Y,37.7929196,-122.4118145
MLS Listing,,Single Family Residential,2506 Leavenworth St,San Francisco,CA,94133,4750000,5,4.5,Russian Hill,4018,2495,1992,17,1182,,Active,,,http://www.redfin.com/CA/San-Francisco/2506-Leavenworth-St-94133/home/1170711,San Francisco MLS,456536,N,Y,37.80447,-122.418128
MLS Listing,,Single Family Residential,190 St Germain Ave,San Francisco,CA,94114,4795000,6,5.5,Clarendon Heights,4895,6033,1980,32,980,,Active,May-23-2017 12:30 PM,May-23-2017 02:00 PM,http://www.redfin.com/CA/San-Francisco/190-Saint-Germain-Ave-94114/home/674235,San Francisco MLS,456979,N,Y,37.7575372,-122.4518813
MLS Listing,,Single Family Residential,740 Bay St,San Francisco,CA,94109,4875000,5,4.5,Russian Hill,3535,3438,1900,19,1379,,Active,,,http://www.redfin.com/CA/San-Francisco/740-Bay-St-94109/home/1365329,San Francisco MLS,457111,N,Y,37.805188,-122.419303
MLS Listing,,Condo/Co-op,2121 Webster St #605,San Francisco,CA,94115,4895000,3,2.5,Pacific Heights,2145,,2016,64,2282,1603,Active,,,http://www.redfin.com/CA/San-Francisco/2121-Webster-St-94115/unit-605/home/113480184,San Francisco MLS,455885,N,Y,37.7902213,-122.4329717
New Construction Plan,,Condo/Co-op,#605,San Francisco,CA,94115,4895000,3,2.5,The Pacific,2145,,,,2282,,Active,,,http://www.redfin.com/CA/San-Francisco/The-Pacific/605/home/113874673,NewHomeFeed,Plan-359568,N,Y,37.7902213,-122.4329717
MLS Listing,,Townhouse,3 Russian Hill Pl,San Francisco,CA,94133,4898000,4,3,Russian Hill,3360,1559,1916,7,1458,,Active,,,http://www.redfin.com/CA/San-Francisco/3-Russian-Hill-Pl-94133/home/1837752,San Francisco MLS,458093,N,Y,37.7980123,-122.4152269
MLS Listing,,Single Family Residential,524-526 Vallejo St,San Francisco,CA,94133,4950000,5,5.5,Telegraph Hill,3713,,1907,24,1333,,Active,May-23-2017 09:00 AM,May-23-2017 11:00 AM,http://www.redfin.com/CA/San-Francisco/526-Vallejo-St-94133/home/978499,San Francisco MLS,457466,N,Y,37.7990845,-122.406156
MLS Listing,,Single Family Residential,3317 Washington St,San Francisco,CA,94118,4995000,4,3.5,Presidio Heights,3313,2400,1939,4,1508,,Active,May-23-2017 10:00 AM,May-23-2017 11:30 AM,http://www.redfin.com/CA/San-Francisco/3317-Washington-St-94118/home/586172,San Francisco MLS,458251,N,Y,37.7897237,-122.4476833
MLS Listing,,Single Family Residential,164 Belvedere St,San Francisco,CA,94117,4995000,5,5,Parnassus/Ashbury Heights,4580,3044,,3,1091,,Active,,,http://www.redfin.com/CA/San-Francisco/164-Belvedere-St-94117/home/1659932,San Francisco MLS,458346,N,Y,37.7675399,-122.448885
MLS Listing,,Single Family Residential,310 Duncan St,San Francisco,CA,94110,4998000,4,5.5,Noe Valley,3400,2555,,4,1470,,Active,,,http://www.redfin.com/CA/San-Francisco/310-Duncan-St-94131/home/801151,San Francisco MLS,457796,N,Y,37.7462552,-122.4274832
New Construction Plan,,Condo/Co-op,Residence 5,San Francisco,CA,94105,5435000,3,3,LUMINA,2692,,,,2019,,Active,,,http://www.redfin.com/CA/San-Francisco/LUMINA/Residence-5/home/109073302,NewHomeFeed,Plan-321181,N,Y,37.7886997,-122.39226
MLS Listing,,Condo/Co-op,765 Market St Unit 26F,San Francisco,CA,94103,5495000,3,3.5,South of Market,2576,,,180,2133,2474,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-26F/home/867898,San Francisco MLS,452714,N,Y,37.786212,-122.404303
MLS Listing,,Single Family Residential,1350 Noe St,San Francisco,CA,94131,5499000,4,3.5,Noe Valley,4337,1983,2017,61,1268,,Active,May-23-2017 12:30 PM,May-23-2017 01:30 PM,http://www.redfin.com/CA/San-Francisco/1350-Noe-St-94131/home/55241616,San Francisco MLS,455967,N,Y,37.747277,-122.431727
MLS Listing,,Condo/Co-op,181 Fremont Unit 63A,San Francisco,CA,94105,5630000,3,3.5,Yerba Buena,1882,,2017,6,2991,2544,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-63A/home/113968510,San Francisco MLS,458195,N,Y,37.7898082,-122.3953565
MLS Listing,,Single Family Residential,350 Liberty St,San Francisco,CA,94114,5850000,5,3,Eureka Valley/Dolore,3932,2848,1925,17,1488,,Active,,,http://www.redfin.com/CA/San-Francisco/350-Liberty-St-94114/home/713243,San Francisco MLS,457624,N,Y,37.757466,-122.429117
MLS Listing,,Single Family Residential,2572 Greenwich St,SAN FRANCISCO,CA,94123,5895000,4,4,SAN FRANCISCO,4221,2743,1999,69,1397,,Active,,,http://www.redfin.com/CA/San-Francisco/2572-Greenwich-St-94123/home/2030671,MLSListings,ML81642223,N,Y,37.7983672,-122.4420353
MLS Listing,,Single Family Residential,2850 Filbert St,San Francisco,CA,94123,5995000,4,3.5,Cow Hollow,2778,3438,1916,17,2158,,Active,,,http://www.redfin.com/CA/San-Francisco/2850-Filbert-St-94123/home/1643186,San Francisco MLS,457694,N,Y,37.7968202,-122.4464643
MLS Listing,,Condo/Co-op,301 Mission St #401,San Francisco,CA,94105,5995000,4,4,Yerba Buena,3814,,2009,69,1572,4590,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-401/home/40138858,San Francisco MLS,455383,N,Y,37.790387,-122.3961664
MLS Listing,,Single Family Residential,3903 Washington St,San Francisco,CA,94118,6495000,5,5,Presidio Heights,4729,3415,1922,29,1373,,Active,,,http://www.redfin.com/CA/San-Francisco/3903-Washington-St-94118/home/980199,San Francisco MLS,456987,N,Y,37.788505,-122.457481
MLS Listing,,Single Family Residential,1960 Jones St,San Francisco,CA,94133,6495000,4,5.5,Russian Hill,4800,2770,1906,8,1353,,Active,,,http://www.redfin.com/CA/San-Francisco/1960-Jones-St-94133/home/540430,San Francisco MLS,458074,N,Y,37.7994734,-122.4155902
MLS Listing,,Single Family Residential,2440 Scott St,San Francisco,CA,94115,6545000,4,3.5,Pacific Heights,4392,2431,1922,123,1490,,Active,,,http://www.redfin.com/CA/San-Francisco/2440-Scott-St-94115/home/1787683,San Francisco MLS,453805,N,Y,37.7923502,-122.4393688
MLS Listing,,Single Family Residential,4352 26th St,San Francisco,CA,94131,6800000,5,4.5,Noe Valley,4816,3419,2017,26,1412,,Active,,,http://www.redfin.com/CA/San-Francisco/4352-26th-St-94131/home/1472326,San Francisco MLS,457312,N,Y,37.748134,-122.437206
MLS Listing,,Single Family Residential,11 San Jacinto Way,San Francisco,CA,94127,6800000,4,4.5,St. Francis Wood,6383,14322,1982,38,1065,480,Active,,,http://www.redfin.com/CA/San-Francisco/11-San-Jacinto-Way-94127/home/2036981,San Francisco MLS,456810,N,Y,37.7352805,-122.4632487
MLS Listing,,Condo/Co-op,132 Presidio Ave,San Francisco,CA,94115,6900000,3,3.5,Pacific Heights,3429,,1912,10,2012,,Active,,,http://www.redfin.com/CA/San-Francisco/132-Presidio-Ave-94115/home/588430,San Francisco MLS,457987,N,Y,37.790367,-122.44713
MLS Listing,,Single Family Residential,2727 Vallejo St,San Francisco,CA,94123,6900000,5,5.5,Pacific Heights,3955,4194,1905,35,1745,,Active,,,http://www.redfin.com/CA/San-Francisco/2727-Vallejo-St-94123/home/1244417,San Francisco MLS,456892,N,Y,37.794033,-122.442241
MLS Listing,,Condo/Co-op,1090 Chestnut St #2,San Francisco,CA,94109,6925000,4,3.5,Russian Hill,3260,,1927,257,2124,3788,Active,,,http://www.redfin.com/CA/San-Francisco/1090-Chestnut-St-94109/unit-2/home/12391162,San Francisco MLS,449923,N,Y,37.8030273,-122.4212927
MLS Listing,,Single Family Residential,2652 Chestnut St,San Francisco,CA,94123,7395000,5,6,Cow Hollow,4870,3000,2014,112,1518,,Active,,,http://www.redfin.com/CA/San-Francisco/2652-Chestnut-St-94123/home/1079461,San Francisco MLS,454113,N,Y,37.7996437,-122.4470737
MLS Listing,,Single Family Residential,2502 Jackson St,San Francisco,CA,94115,7499000,5,5.5,Pacific Heights,4325,,1930,8,1734,,Active,,,http://www.redfin.com/CA/San-Francisco/2502-Jackson-St-94115/home/1030186,San Francisco MLS,458116,N,Y,37.792442,-122.436563
MLS Listing,,Condo/Co-op,10 Miller Pl #2400,San Francisco,CA,94108,7900000,3,4.5,Nob Hill,3150,,1963,31,2508,2528,Active,,,http://www.redfin.com/CA/San-Francisco/10-Miller-Pl-94108/unit-2400/home/1722613,San Francisco MLS,457130,N,Y,37.7932132,-122.4089808
MLS Listing,,Condo/Co-op,765 Market St Unit 24CD,San Francisco,CA,94103,7995000,3,3.5,South of Market,3343,,2001,76,2392,4327,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-24CD/home/105249187,San Francisco MLS,455417,N,Y,37.786212,-122.404303
MLS Listing,,Single Family Residential,1735 Franklin St,San Francisco,CA,94109,7998000,8,4.5,Pacific Heights,7885,4000,1904,74,1014,,Active,,,http://www.redfin.com/CA/San-Francisco/1735-Franklin-St-94109/home/1888035,San Francisco MLS,455518,N,Y,37.7906764,-122.4243691
MLS Listing,,Condo/Co-op,338 Main St Unit 36A,San Francisco,CA,94105,8895000,3,3.5,South Beach,3770,,2016,251,2359,2400,Active,,,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-36A/home/109000473,San Francisco MLS,450274,N,Y,37.7888208,-122.3912963
MLS Listing,,Single Family Residential,475 Bridgeway Blvd,Sausalito,CA,94965,8990000,4,5.5,Sausalito,6116,6665,1997,244,1470,,Active,,,http://www.redfin.com/CA/Sausalito/475-Bridgeway-94965/home/1442256,BAREIS,21622316,N,Y,37.8519563,-122.4791369
MLS Listing,,Single Family Residential,2411 Broadway St,SAN FRANCISCO,CA,94115,9995000,5,4.5,SAN FRANCISCO,5300,3025,1932,101,1886,,Active,,,http://www.redfin.com/CA/San-Francisco/2411-Broadway-94115/home/1348740,MLSListings,ML81638607,N,Y,37.7937299,-122.437051
MLS Listing,,Condo/Co-op,301 Main St Unit 37B,San Francisco,CA,94105,10600000,3,3.5,South Beach,3382,,2008,52,3134,1227,Active,,,http://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-37B/home/21966675,San Francisco MLS,456383,N,Y,37.789525,-122.3911753
MLS Listing,,Single Family Residential,1994 Jackson St,San Francisco,CA,94109,10750000,5,6.5,Pacific Heights,5490,,1941,7,1958,,Active,,,http://www.redfin.com/CA/San-Francisco/1994-Jackson-St-94109/home/1936490,San Francisco MLS,458135,N,Y,37.793541,-122.427855
MLS Listing,,Single Family Residential,1032 Broadway,San Francisco,CA,94133,12000000,4,4.5,Nob Hill,3890,8712,1853,975,3085,,Active,,,http://www.redfin.com/CA/San-Francisco/1032-Broadway-94133/home/543826,San Francisco MLS,425734,N,Y,37.7970984,-122.4142716
MLS Listing,,Single Family Residential,2557 Filbert St,San Francisco,CA,94123,12000000,6,4,Cow Hollow,6085,8659,1900,49,1972,,Active,,,http://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/unit-2571/home/1451738,San Francisco MLS,456324,N,Y,37.796977,-122.441632
MLS Listing,,Single Family Residential,898 Francisco St,San Francisco,CA,94109,12000000,6,6.5,Russian Hill,6305,5832,1914,111,1903,,Active,,,http://www.redfin.com/CA/San-Francisco/898-Francisco-St-94109/home/1769998,San Francisco MLS,453946,N,Y,37.8040691,-122.4198782
MLS Listing,,Single Family Residential,2528 Union St,San Francisco,CA,94123,12500000,4,5.5,Cow Hollow,6000,3781,2017,9,2083,,Active,,,http://www.redfin.com/CA/San-Francisco/2528-Union-St-94123/home/1451730,San Francisco MLS,457883,N,Y,37.796589,-122.441677
MLS Listing,,Condo/Co-op,2121 Webster Ph 5,San Francisco,CA,94115,12950000,0,,Pacific Heights,3078,,2016,100,4207,2142,Active,,,http://www.redfin.com/CA/San-Francisco/2121-Webster-St-94115/unit-5/home/109069304,San Francisco MLS,454544,N,Y,37.7902213,-122.4329717
MLS Listing,,Condo/Co-op,181 Fremont Unit 69 B,San Francisco,CA,94105,14000000,2,2.5,Yerba Buena,3199,,2017,6,4376,2942,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-69-B/home/113967862,San Francisco MLS,458183,N,Y,37.7898082,-122.3953565
MLS Listing,,Single Family Residential,3444 Washington St,San Francisco,CA,94118,18000000,6,6,Presidio Heights,9074,7657,1904,33,1984,,Active,,,http://www.redfin.com/CA/San-Francisco/3444-Washington-St-94118/home/1523592,San Francisco MLS,456931,N,Y,37.7898347,-122.4499915
MLS Listing,,Single Family Residential,3001 Pacific Ave,San Francisco,CA,94115,22000000,15,10,Pacific Heights,13643,8106,1906,158,1613,,Active,,,http://www.redfin.com/CA/San-Francisco/3001-Pacific-Ave-94115/home/587453,San Francisco MLS,453109,N,Y,37.7917879,-122.444822
MLS Listing,,Single Family Residential,2820 Scott St,San Francisco,CA,94123,29500000,7,9.5,San Francisco County,16000,,1904,460,1844,,Active,,,http://www.redfin.com/CA/San-Francisco/2820-Scott-St-94123/home/17058345,BAREIS,21603022,N,Y,37.795901,-122.439948
