SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1067 Lombard St #2,San Francisco,CA,94109,2150000,2,2,Russian Hill,1433,,1968,63,1500,500,Active,,,http://www.redfin.com/CA/San-Francisco/1067-Lombard-St-94109/unit-2/home/1698446,San Francisco MLS,455792,N,Y,37.801769,-122.419014
MLS Listing,,Condo/Co-op,1056 Haight St,San Francisco,CA,94117,2150000,3,3.5,Haight Ashbury,2062,,2007,11,1043,463,Active,,,http://www.redfin.com/CA/San-Francisco/1056-Haight-St-94117/home/22044010,San Francisco MLS,457947,N,Y,37.7709366,-122.4397797
MLS Listing,,Condo/Co-op,1706 Vallejo St,San Francisco,CA,94123,2150000,3,2,Pacific Heights,2069,,1908,38,1039,400,Active,,,http://www.redfin.com/CA/San-Francisco/1706-Vallejo-St-94123/home/1587028,San Francisco MLS,456884,N,Y,37.79659,-122.4256124
MLS Listing,,Condo/Co-op,542 Natoma St #1,San Francisco,CA,94103,2150000,2,2.5,South of Market,2360,,,13,911,464,Active,,,http://www.redfin.com/CA/San-Francisco/542-Natoma-St-94103/unit-1/home/99775615,San Francisco MLS,457874,N,Y,37.7795521,-122.4087966
MLS Listing,,Condo/Co-op,1005 Noe St #2,San Francisco,CA,94114,2175000,3,3.5,Noe Valley,2149,,2002,12,1012,500,Active,,,http://www.redfin.com/CA/San-Francisco/1005-Noe-St-94114/unit-2/home/1364318,San Francisco MLS,457848,N,Y,37.7528463,-122.4317658
MLS Listing,,Condo/Co-op,1200 California St Unit 18D,San Francisco,CA,94109,2195000,2,2,Nob Hill,1800,,1962,14,1219,2564,Active,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-18D/home/12400731,San Francisco MLS,457801,N,Y,37.791656,-122.4145259
MLS Listing,,Single Family Residential,2479 Diamond St,San Francisco,CA,94131,2199000,5,3,Glen Park,2076,5061,1975,3,1059,,Active,May-23-2017 12:00 PM,May-23-2017 01:30 PM,http://www.redfin.com/CA/San-Francisco/2479-Diamond-St-94131/home/1258139,San Francisco MLS,458354,N,Y,37.7390634,-122.4348036
MLS Listing,,Single Family Residential,22 Newman St,San Francisco,CA,94110,2250000,4,5,Bernal Heights,2100,2495,1900,3,1071,,Active,,,http://www.redfin.com/CA/San-Francisco/22-Newman-St-94110/home/2001243,San Francisco MLS,458317,N,Y,37.7376967,-122.4183493
MLS Listing,,Single Family Residential,110 Steiner St,San Francisco,CA,94117,2250000,4,3,Hayes Valley,2850,1920,1900,53,789,,Active,,,http://www.redfin.com/CA/San-Francisco/110-Steiner-St-94117/home/579794,San Francisco MLS,456292,N,Y,37.7703131,-122.4314956
MLS Listing,,Condo/Co-op,2655 Bush St #601,San Francisco,CA,94115,2294000,3,2,Lower Pacific Height,1375,,2017,117,1668,896,Active,,,http://www.redfin.com/CA/San-Francisco/2655-Bush-St-94115/unit-601/home/112974630,San Francisco MLS,453980,N,Y,37.7858334,-122.4406677
